respondent_id,Q1_age_group,Q6_ownership_duration,Q7_monthly_spend_inr,Q9_online_purchase_freq,Q13_pet_space_satisfaction,Q15_app_usage,Q20_community_importance,Q22_reviews_importance,Q24_emergency_vet_freq,Q25_app_adoption,Q1_age_group_enc,Q6_ownership_duration_enc,Q9_online_purchase_freq_enc,Q13_pet_space_satisfaction_enc,Q15_app_usage_enc,Q20_community_importance_enc,Q22_reviews_importance_enc,Q24_emergency_vet_freq_enc,Q2_city_tier_Metro,Q2_city_tier_Rural,Q2_city_tier_Tier-2,Q2_city_tier_Tier-3,Q3_residence_type_Gated Apartment,Q3_residence_type_Independent House,Q3_residence_type_Non-Gated Apartment,Q3_residence_type_Other,Q3_residence_type_Rented,Q4_num_dogs_1 Dog,Q4_num_dogs_2 Dogs,Q4_num_dogs_3+ Dogs,Q8_top_spend_category_Accessories,Q8_top_spend_category_Boarding/Walking,Q8_top_spend_category_Food & Treats,Q8_top_spend_category_Grooming,Q8_top_spend_category_Online Marketplace,Q8_top_spend_category_Training,Q8_top_spend_category_Vet & Medicines,Q11_vet_discovery_Google Maps,Q11_vet_discovery_No Reliable Way,Q11_vet_discovery_Pet App,Q11_vet_discovery_Social Media,Q11_vet_discovery_Word Of Mouth,Q12_lost_dog_experience_No,Q12_lost_dog_experience_Not Applicable,"Q12_lost_dog_experience_Yes, Managed Eventually","Q12_lost_dog_experience_Yes, Very Difficult",Q16_purchase_platform_Amazon/Flipkart,Q16_purchase_platform_Brand Website,Q16_purchase_platform_Don'T Buy Online,Q16_purchase_platform_Heads Up For Tails/Supertails,Q16_purchase_platform_Instagram/Social,Q16_purchase_platform_Local Pet Store,Q17_location_sharing_No,Q17_location_sharing_Unsure,Q17_location_sharing_Yes Always,Q17_location_sharing_Yes When Using App,Q18_subscription_pref_Annual Sub,Q18_subscription_pref_Free With Ads,Q18_subscription_pref_Freemium,Q18_subscription_pref_Monthly Sub,Q18_subscription_pref_One-Time Purchase,Q18_subscription_pref_Would Not Pay,Q19_adoption_interest_Maybe Someday,Q19_adoption_interest_No,Q19_adoption_interest_Yes Actively,Q19_adoption_interest_Yes Considering,Q21_social_media_dogs_Active,Q21_social_media_dogs_Not Interested,Q21_social_media_dogs_Not Yet But Would,Q21_social_media_dogs_Passive,Q23_vax_tracking_Dedicated Pet App,Q23_vax_tracking_Don'T Track,Q23_vax_tracking_Physical Diary,Q23_vax_tracking_Rely On Memory,Q23_vax_tracking_Spreadsheet/Notes App,Q10_challenges__hard_to_find_reliable_vet,Q10_challenges__lack_of_grooming_services,Q10_challenges__no_pet_friendly_spaces,Q10_challenges__genuine_food_accessories_hard_to_find,Q10_challenges__cannot_find_dog_trainer,Q10_challenges__hard_to_find_boarding_walker,Q10_challenges__no_local_dog_owner_community,Q10_challenges__travel_challenges_with_dog,Q10_challenges__difficulty_adopting_fostering,Q10_challenges__losing_track_of_vaccinations,Q14_preferred_features__nearby_vet_directory,Q14_preferred_features__pet_friendly_places,Q14_preferred_features__grooming_listings,Q14_preferred_features__dog_trainer_directory,Q14_preferred_features__adoption_fostering_network,Q14_preferred_features__lost_and_found_alerts,Q14_preferred_features__online_marketplace,Q14_preferred_features__community_playdates,Q14_preferred_features__boarding_walking_listings,Q14_preferred_features__dog_friendly_travel_guide,Q14_preferred_features__event_calendar,Q14_preferred_features__health_vaccination_tracker,Q5_dog_type__purebred,Q5_dog_type__indian_pariah,Q5_dog_type__rescued_stray,Q5_dog_type__adopted_from_shelter,Q5_dog_type__mixed_breed,Q25_target,Q25_binary,is_dog_owner,num_dogs_numeric,spend_per_dog,engagement_score
R0011,Under 18,1-3 Years,3106.0,Occasionally,Satisfied,Often,Somewhat Important,Extremely Important,Once A Year Or Less,Yes,0,1,2,4,3,4,4,1,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,1553.0,9
R0012,60+,5+ Years,5122.0,Very Frequently,Neutral,Rarely,Not Important,Very Important,2-3 Times A Year,Maybe,5,3,4,3,1,2,3,2,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,2561.0,8
R0013,45-59,3-5 Years,6740.0,Very Frequently,Neutral,Never,Somewhat Important,Somewhat Important,2-3 Times A Year,Maybe,4,2,4,3,0,4,2,2,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2246.6666666666665,6
R0014,25-34,5+ Years,5949.0,Occasionally,Very Dissatisfied,Rarely,Neutral,Extremely Important,Once A Year Or Less,Maybe,2,3,2,1,1,3,4,1,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,5949.0,7
R0015,18-24,3-5 Years,3409.0,Occasionally,Very Dissatisfied,Rarely,Very Important,Extremely Important,2-3 Times A Year,Maybe,1,2,2,1,1,5,4,2,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,3409.0,7
R0016,18-24,1-3 Years,3750.0,Frequently,Dissatisfied,Never,Very Important,Very Important,2-3 Times A Year,Maybe,1,1,3,2,0,5,3,2,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1875.0,6
R0017,25-34,5+ Years,4704.0,Never,Dissatisfied,Often,Somewhat Important,Extremely Important,2-3 Times A Year,Yes,2,3,0,2,3,4,4,2,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,1,0,4704.0,7
R0018,25-34,5+ Years,3750.0,Rarely,Dissatisfied,Sometimes,Somewhat Important,Somewhat Important,Never,Yes,2,3,1,2,2,4,2,0,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,3750.0,5
R0019,25-34,3-5 Years,4729.0,Very Frequently,Dissatisfied,Never,Very Important,Very Important,2-3 Times A Year,Maybe,2,2,4,2,0,5,3,2,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4729.0,7
R0020,25-34,5+ Years,75.0,Frequently,Very Dissatisfied,Often,Neutral,Extremely Important,Never,Yes,2,3,3,1,3,3,4,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,75.0,10
R0021,35-44,5+ Years,3750.0,Very Frequently,Very Dissatisfied,Often,Very Important,Extremely Important,Never,Yes,3,3,4,1,3,5,4,0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,1,0,3750.0,11
R0022,18-24,3-5 Years,5596.5,Occasionally,Very Dissatisfied,Often,Neutral,Extremely Important,Once A Year Or Less,Yes,1,2,2,1,3,3,4,1,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,1,0,0,2798.25,9
R0023,25-34,3-5 Years,3278.0,Occasionally,Dissatisfied,Often,Neutral,Very Important,2-3 Times A Year,Yes,2,2,2,2,3,3,3,2,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,1639.0,8
R0024,25-34,5+ Years,3992.5,Very Frequently,Neutral,Never,Somewhat Important,Very Important,Never,Maybe,2,3,4,3,0,4,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3992.5,7
R0025,25-34,5+ Years,3992.5,Rarely,Neutral,Sometimes,Neutral,Very Important,Never,Maybe,2,3,1,3,2,3,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3992.5,6
R0026,45-59,5+ Years,4825.0,Frequently,Dissatisfied,Never,Neutral,Extremely Important,Once A Year Or Less,No,4,3,3,2,0,3,4,1,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,4825.0,7
R0027,18-24,5+ Years,8403.0,Occasionally,Neutral,Sometimes,Very Important,Very Important,Once A Year Or Less,Maybe,1,3,2,3,2,5,3,1,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4201.5,7
R0028,25-34,3-5 Years,3848.0,Rarely,Dissatisfied,Rarely,Neutral,Somewhat Important,Once A Year Or Less,No,2,2,1,2,1,3,2,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3848.0,4
R0029,35-44,3-5 Years,11329.0,Never,Dissatisfied,Often,Neutral,Extremely Important,2-3 Times A Year,Yes,3,2,0,2,3,3,4,2,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,1,0,0,5664.5,7
R0030,18-24,5+ Years,155.0,Occasionally,Dissatisfied,Sometimes,Very Important,Not Important,Never,Yes,1,3,2,2,2,5,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,155.0,5
R0031,35-44,1-3 Years,4164.0,Occasionally,Dissatisfied,Sometimes,Neutral,Somewhat Important,Once A Year Or Less,Maybe,3,1,2,2,2,3,2,1,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,4164.0,6
R0033,18-24,5+ Years,7565.0,Occasionally,Dissatisfied,Often,Very Important,Very Important,Once A Year Or Less,Yes,1,3,2,2,3,5,3,1,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,7565.0,8
R0034,60+,5+ Years,4538.0,Occasionally,Dissatisfied,Rarely,Somewhat Important,Extremely Important,Once A Year Or Less,Maybe,5,3,2,2,1,4,4,1,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2269.0,7
R0035,60+,5+ Years,4048.0,Frequently,Very Dissatisfied,Sometimes,Not At All,Extremely Important,Never,Maybe,5,3,3,1,2,1,4,0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,4048.0,9
R0036,45-59,<1 Year,4768.0,Never,Very Satisfied,Rarely,Very Important,Very Important,2-3 Times A Year,Yes,4,0,0,5,1,5,3,2,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,4768.0,4
R0037,25-34,1-3 Years,5870.0,Frequently,Dissatisfied,Often,Somewhat Important,Very Important,2-3 Times A Year,Yes,2,1,3,2,3,4,3,2,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,5870.0,9
R0038,18-24,1-3 Years,3921.0,Never,Satisfied,Often,Neutral,Somewhat Important,Never,Maybe,1,1,0,4,3,3,2,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1960.5,5
R0039,35-44,5+ Years,2982.0,Never,Satisfied,Sometimes,Not At All,Not Important,2-3 Times A Year,No,3,3,0,4,2,1,1,2,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1491.0,3
R0040,25-34,5+ Years,5131.0,Rarely,Satisfied,Sometimes,Somewhat Important,Not Important,Once A Year Or Less,Maybe,2,3,1,4,2,4,1,1,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,5131.0,4
